title,date,author_for_reference,pdf_url
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/26/medium.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/27/small.jpg
Ghost Stories,2019-11-08,Ruth Heholt,https://repository.falmouth.ac.uk/3789/3/Heholt_Ghost%20Stories.pdf
Ghost Stories,2019-11-08,Ruth Heholt,https://repository.falmouth.ac.uk/3789/4/lightbox.jpg
Ghost Stories,2019-11-08,Ruth Heholt,https://repository.falmouth.ac.uk/3789/5/preview.jpg
Ghost Stories,2019-11-08,Ruth Heholt,https://repository.falmouth.ac.uk/3789/6/medium.jpg
Ghost Stories,2019-11-08,Ruth Heholt,https://repository.falmouth.ac.uk/3789/7/small.jpg
Ghost Stories,2019-11-08,Ruth Heholt,https://repository.falmouth.ac.uk/3789/8/indexcodes.txt
The Dead Cry Out,2019-11-03,Michela Cortese,https://repository.falmouth.ac.uk/3706/2/DCO_Complete.mp3
The Dead Cry Out,2019-11-03,Michela Cortese,https://repository.falmouth.ac.uk/3706/3/audio.ogg
"Reel Sounds - Vol.2: Crosby, Cuba and More in Focus at Doc'n Roll 2019",2019-11-03,Neil Fox,https://repository.falmouth.ac.uk/3959/3/Reel%20Sounds%202%20-%20Accepted%20Version.pdf
"Reel Sounds - Vol.2: Crosby, Cuba and More in Focus at Doc'n Roll 2019",2019-11-03,Neil Fox,https://repository.falmouth.ac.uk/3959/4/lightbox.jpg
"Reel Sounds - Vol.2: Crosby, Cuba and More in Focus at Doc'n Roll 2019",2019-11-03,Neil Fox,https://repository.falmouth.ac.uk/3959/5/preview.jpg
"Reel Sounds - Vol.2: Crosby, Cuba and More in Focus at Doc'n Roll 2019",2019-11-03,Neil Fox,https://repository.falmouth.ac.uk/3959/6/medium.jpg
"Reel Sounds - Vol.2: Crosby, Cuba and More in Focus at Doc'n Roll 2019",2019-11-03,Neil Fox,https://repository.falmouth.ac.uk/3959/7/small.jpg
"Reel Sounds - Vol.2: Crosby, Cuba and More in Focus at Doc'n Roll 2019",2019-11-03,Neil Fox,https://repository.falmouth.ac.uk/3959/8/indexcodes.txt
"Hyperbole, Exaggeration and Conjecture",2019-11-02,Rupert Loydell,https://repository.falmouth.ac.uk/3541/1/Burroughs.RocknRoll.docx
"Hyperbole, Exaggeration and Conjecture",2019-11-02,Rupert Loydell,https://repository.falmouth.ac.uk/3541/2/indexcodes.txt
From Games to Moral Agents: Towards a Model for Moral Actions,2019-10-31,Joan Casas Roma,https://repository.falmouth.ac.uk/3419/1/Casas-Roma%20and%20Arnedo-Moreno%20-%20From%20Games%20to%20Moral%20Agents.pdf
From Games to Moral Agents: Towards a Model for Moral Actions,2019-10-31,Joan Casas Roma,https://repository.falmouth.ac.uk/3419/2/indexcodes.txt
From Games to Moral Agents: Towards a Model for Moral Actions,2019-10-31,Joan Casas Roma,https://repository.falmouth.ac.uk/3419/3/lightbox.jpg
From Games to Moral Agents: Towards a Model for Moral Actions,2019-10-31,Joan Casas Roma,https://repository.falmouth.ac.uk/3419/4/preview.jpg
From Games to Moral Agents: Towards a Model for Moral Actions,2019-10-31,Joan Casas Roma,https://repository.falmouth.ac.uk/3419/5/medium.jpg
From Games to Moral Agents: Towards a Model for Moral Actions,2019-10-31,Joan Casas Roma,https://repository.falmouth.ac.uk/3419/6/small.jpg
Pool School Gallery CIC Contemporary Artist Programme 2019/2020,2019-10-31,Jonty Lees,https://repository.falmouth.ac.uk/3702/1/Untitled-1%202.jpg
Pool School Gallery CIC Contemporary Artist Programme 2019/2020,2019-10-31,Jonty Lees,https://repository.falmouth.ac.uk/3702/2/lightbox.jpg
Pool School Gallery CIC Contemporary Artist Programme 2019/2020,2019-10-31,Jonty Lees,https://repository.falmouth.ac.uk/3702/3/preview.jpg
Pool School Gallery CIC Contemporary Artist Programme 2019/2020,2019-10-31,Jonty Lees,https://repository.falmouth.ac.uk/3702/4/medium.jpg
Pool School Gallery CIC Contemporary Artist Programme 2019/2020,2019-10-31,Jonty Lees,https://repository.falmouth.ac.uk/3702/5/small.jpg
Across Voids: An Interactive Experience on Grief,2019-10-30,Norah Lorway,https://repository.falmouth.ac.uk/3695/1/AcrossVoidsMedia.zip
